,EMOJI_ALIAS_UNICODE,emoji,VEC_TO_CAT,seq_clean_text
0,:1st_place_medal:,🥇,activity,"['1st', 'place', 'medal']"
1,:2nd_place_medal:,🥈,place,"['2nd', 'place', 'medal']"
2,:3rd_place_medal:,🥉,place,"['3rd', 'place', 'medal']"
3,:AB_button_(blood_type):,🆎,thing,"['AB', 'button', '(blood', 'type']"
4,:ATM_sign:,🏧,place,"['ATM', 'sign']"
5,:A_button_(blood_type):,🅰,thing,"['A', 'button', '(blood', 'type']"
6,:Afghanistan:,🇦🇫,place,['Afghanistan']
7,:Albania:,🇦🇱,activity,['Albania']
8,:Algeria:,🇩🇿,activity,['Algeria']
9,:American_Samoa:,🇦🇸,time,"['American', 'Samoa']"
10,:Andorra:,🇦🇩,place,['Andorra']
11,:Angola:,🇦🇴,activity,['Angola']
12,:Anguilla:,🇦🇮,person,['Anguilla']
13,:Antarctica:,🇦🇶,activity,['Antarctica']
14,:Antigua_&_Barbuda:,🇦🇬,activity,"['Antigua', '&', 'Barbuda']"
15,:Aquarius:,♒,mood,['Aquarius']
16,:Argentina:,🇦🇷,thing,['Argentina']
17,:Aries:,♈,activity,['Aries']
18,:Armenia:,🇦🇲,place,['Armenia']
19,:Aruba:,🇦🇼,time,['Aruba']
20,:Ascension_Island:,🇦🇨,activity,"['Ascension', 'Island']"
21,:Australia:,🇦🇺,thing,['Australia']
22,:Austria:,🇦🇹,place,['Austria']
23,:Azerbaijan:,🇦🇿,activity,['Azerbaijan']
24,:BACK_arrow:,🔙,thing,"['BACK', 'arrow']"
25,:B_button_(blood_type):,🅱,thing,"['B', 'button', '(blood', 'type']"
26,:Bahamas:,🇧🇸,thing,['Bahamas']
27,:Bahrain:,🇧🇭,place,['Bahrain']
28,:Bangladesh:,🇧🇩,person,['Bangladesh']
29,:Barbados:,🇧🇧,time,['Barbados']
30,:Belarus:,🇧🇾,place,['Belarus']
31,:Belgium:,🇧🇪,place,['Belgium']
32,:Belize:,🇧🇿,thing,['Belize']
33,:Benin:,🇧🇯,place,['Benin']
34,:Bermuda:,🇧🇲,thing,['Bermuda']
35,:Bhutan:,🇧🇹,place,['Bhutan']
36,:Bolivia:,🇧🇴,place,['Bolivia']
37,:Bosnia_&_Herzegovina:,🇧🇦,place,"['Bosnia', '&', 'Herzegovina']"
38,:Botswana:,🇧🇼,thing,['Botswana']
39,:Bouvet_Island:,🇧🇻,place,"['Bouvet', 'Island']"
40,:Brazil:,🇧🇷,time,['Brazil']
41,:British_Indian_Ocean_Territory:,🇮🇴,time,"['British', 'Indian', 'Ocean', 'Territory']"
42,:British_Virgin_Islands:,🇻🇬,time,"['British', 'Virgin', 'Islands']"
43,:Brunei:,🇧🇳,thing,['Brunei']
44,:Bulgaria:,🇧🇬,time,['Bulgaria']
45,:Burkina_Faso:,🇧🇫,thing,"['Burkina', 'Faso']"
46,:Burundi:,🇧🇮,place,['Burundi']
47,:CL_button:,🆑,thing,"['CL', 'button']"
48,:COOL_button:,🆒,thing,"['COOL', 'button']"
49,:Cambodia:,🇰🇭,place,['Cambodia']
50,:Cameroon:,🇨🇲,place,['Cameroon']
51,:Canada:,🇨🇦,thing,['Canada']
52,:Canary_Islands:,🇮🇨,thing,"['Canary', 'Islands']"
53,:Cancer:,♋,mood,['Cancer']
54,:Cape_Verde:,🇨🇻,activity,"['Cape', 'Verde']"
55,:Capricorn:,♑,person,['Capricorn']
56,:Caribbean_Netherlands:,🇧🇶,time,"['Caribbean', 'Netherlands']"
57,:Cayman_Islands:,🇰🇾,thing,"['Cayman', 'Islands']"
58,:Central_African_Republic:,🇨🇫,place,"['Central', 'African', 'Republic']"
59,:Ceuta_&_Melilla:,🇪🇦,place,"['Ceuta', '&', 'Melilla']"
60,:Chad:,🇹🇩,thing,['Chad']
61,:Chile:,🇨🇱,activity,['Chile']
62,:China:,🇨🇳,activity,['China']
63,:Christmas_Island:,🇨🇽,time,"['Christmas', 'Island']"
64,:Christmas_tree:,🎄,time,"['Christmas', 'tree']"
65,:Clipperton_Island:,🇨🇵,thing,"['Clipperton', 'Island']"
66,:Cocos_(Keeling)_Islands:,🇨🇨,thing,"['Cocos', '(Keeling)', 'Islands']"
67,:Colombia:,🇨🇴,activity,['Colombia']
68,:Comoros:,🇰🇲,activity,['Comoros']
69,:Congo_-_Brazzaville:,🇨🇬,place,"['Congo', 'Brazzaville']"
70,:Congo_-_Kinshasa:,🇨🇩,place,"['Congo', 'Kinshasa']"
71,:Cook_Islands:,🇨🇰,time,"['Cook', 'Islands']"
72,:Costa_Rica:,🇨🇷,thing,"['Costa', 'Rica']"
73,:Croatia:,🇭🇷,place,['Croatia']
74,:Cuba:,🇨🇺,mood,['Cuba']
75,:Curaçao:,🇨🇼,place,['Curaçao']
76,:Cyprus:,🇨🇾,time,['Cyprus']
77,:Czechia:,🇨🇿,place,['Czechia']
78,:Côte_d’Ivoire:,🇨🇮,place,"['Côte', 'd’Ivoire']"
79,:Denmark:,🇩🇰,place,['Denmark']
80,:Diego_Garcia:,🇩🇬,thing,"['Diego', 'Garcia']"
81,:Djibouti:,🇩🇯,place,['Djibouti']
82,:Dominica:,🇩🇲,thing,['Dominica']
83,:Dominican_Republic:,🇩🇴,place,"['Dominican', 'Republic']"
84,:END_arrow:,🔚,person,"['END', 'arrow']"
85,:Ecuador:,🇪🇨,place,['Ecuador']
86,:Egypt:,🇪🇬,place,['Egypt']
87,:El_Salvador:,🇸🇻,activity,"['El', 'Salvador']"
88,:England:,🏴󠁧󠁢󠁥󠁮󠁧󠁿,mood,['England']
89,:Equatorial_Guinea:,🇬🇶,activity,"['Equatorial', 'Guinea']"
90,:Eritrea:,🇪🇷,activity,['Eritrea']
91,:Estonia:,🇪🇪,place,['Estonia']
92,:Ethiopia:,🇪🇹,place,['Ethiopia']
93,:European_Union:,🇪🇺,mood,"['European', 'Union']"
94,:FREE_button:,🆓,person,"['FREE', 'button']"
95,:Falkland_Islands:,🇫🇰,place,"['Falkland', 'Islands']"
96,:Faroe_Islands:,🇫🇴,activity,"['Faroe', 'Islands']"
97,:Fiji:,🇫🇯,thing,['Fiji']
98,:Finland:,🇫🇮,time,['Finland']
99,:France:,🇫🇷,mood,['France']
100,:French_Guiana:,🇬🇫,place,"['French', 'Guiana']"
101,:French_Polynesia:,🇵🇫,mood,"['French', 'Polynesia']"
102,:French_Southern_Territories:,🇹🇫,activity,"['French', 'Southern', 'Territories']"
103,:Gabon:,🇬🇦,place,['Gabon']
104,:Gambia:,🇬🇲,thing,['Gambia']
105,:Gemini:,♊,activity,['Gemini']
106,:Georgia:,🇬🇪,time,['Georgia']
107,:Germany:,🇩🇪,time,['Germany']
108,:Ghana:,🇬🇭,person,['Ghana']
109,:Gibraltar:,🇬🇮,activity,['Gibraltar']
110,:Greece:,🇬🇷,thing,['Greece']
111,:Greenland:,🇬🇱,activity,['Greenland']
112,:Grenada:,🇬🇩,thing,['Grenada']
113,:Guadeloupe:,🇬🇵,time,['Guadeloupe']
114,:Guam:,🇬🇺,time,['Guam']
115,:Guatemala:,🇬🇹,place,['Guatemala']
116,:Guernsey:,🇬🇬,place,['Guernsey']
117,:Guinea:,🇬🇳,activity,['Guinea']
118,:Guinea-Bissau:,🇬🇼,mood,"['Guinea', 'Bissau']"
119,:Guyana:,🇬🇾,person,['Guyana']
120,:Haiti:,🇭🇹,thing,['Haiti']
121,:Heard_&_McDonald_Islands:,🇭🇲,thing,"['Heard', '&', 'McDonald', 'Islands']"
122,:Honduras:,🇭🇳,place,['Honduras']
123,:Hong_Kong_SAR_China:,🇭🇰,person,"['Hong', 'Kong', 'SAR', 'China']"
124,:Hungary:,🇭🇺,place,['Hungary']
125,:ID_button:,🆔,person,"['ID', 'button']"
126,:Iceland:,🇮🇸,thing,['Iceland']
127,:India:,🇮🇳,person,['India']
128,:Indonesia:,🇮🇩,activity,['Indonesia']
129,:Iran:,🇮🇷,time,['Iran']
130,:Iraq:,🇮🇶,thing,['Iraq']
131,:Ireland:,🇮🇪,time,['Ireland']
132,:Isle_of_Man:,🇮🇲,person,"['Isle', 'of', 'Man']"
133,:Israel:,🇮🇱,thing,['Israel']
134,:Italy:,🇮🇹,place,['Italy']
135,:Jamaica:,🇯🇲,place,['Jamaica']
136,:Japan:,🇯🇵,time,['Japan']
137,:Japanese_acceptable_button:,🉑,thing,"['Japanese', 'acceptable', 'button']"
138,:Japanese_application_button:,🈸,thing,"['Japanese', 'application', 'button']"
139,:Japanese_bargain_button:,🉐,thing,"['Japanese', 'bargain', 'button']"
140,:Japanese_castle:,🏯,place,"['Japanese', 'castle']"
141,:Japanese_congratulations_button:,㊗,thing,"['Japanese', 'congratulations', 'button']"
142,:Japanese_discount_button:,🈹,time,"['Japanese', 'discount', 'button']"
143,:Japanese_dolls:,🎎,mood,"['Japanese', 'dolls']"
144,:Japanese_free_of_charge_button:,🈚,time,"['Japanese', 'free', 'of', 'charge', 'button']"
145,:Japanese_here_button:,🈁,thing,"['Japanese', 'here', 'button']"
146,:Japanese_monthly_amount_button:,🈷,time,"['Japanese', 'monthly', 'amount', 'button']"
147,:Japanese_no_vacancy_button:,🈵,time,"['Japanese', 'no', 'vacancy', 'button']"
148,:Japanese_not_free_of_charge_button:,🈶,thing,"['Japanese', 'not', 'free', 'of', 'charge', 'button']"
149,:Japanese_open_for_business_button:,🈺,thing,"['Japanese', 'open', 'for', 'business', 'button']"
150,:Japanese_passing_grade_button:,🈴,time,"['Japanese', 'passing', 'grade', 'button']"
151,:Japanese_post_office:,🏣,time,"['Japanese', 'post', 'office']"
152,:Japanese_prohibited_button:,🈲,thing,"['Japanese', 'prohibited', 'button']"
153,:Japanese_reserved_button:,🈯,time,"['Japanese', 'reserved', 'button']"
154,:Japanese_secret_button:,㊙,thing,"['Japanese', 'secret', 'button']"
155,:Japanese_service_charge_button:,🈂,person,"['Japanese', 'service', 'charge', 'button']"
156,:Japanese_symbol_for_beginner:,🔰,thing,"['Japanese', 'symbol', 'for', 'beginner']"
157,:Japanese_vacancy_button:,🈳,time,"['Japanese', 'vacancy', 'button']"
158,:Jersey:,🇯🇪,place,['Jersey']
159,:Jordan:,🇯🇴,thing,['Jordan']
160,:Kazakhstan:,🇰🇿,place,['Kazakhstan']
161,:Kenya:,🇰🇪,place,['Kenya']
162,:Kiribati:,🇰🇮,time,['Kiribati']
163,:Kosovo:,🇽🇰,thing,['Kosovo']
164,:Kuwait:,🇰🇼,place,['Kuwait']
165,:Kyrgyzstan:,🇰🇬,place,['Kyrgyzstan']
166,:Laos:,🇱🇦,place,['Laos']
167,:Latvia:,🇱🇻,time,['Latvia']
168,:Lebanon:,🇱🇧,place,['Lebanon']
169,:Leo:,♌,thing,['Leo']
170,:Lesotho:,🇱🇸,time,['Lesotho']
171,:Liberia:,🇱🇷,thing,['Liberia']
172,:Libra:,♎,person,['Libra']
173,:Libya:,🇱🇾,person,['Libya']
174,:Liechtenstein:,🇱🇮,place,['Liechtenstein']
175,:Lithuania:,🇱🇹,place,['Lithuania']
176,:Luxembourg:,🇱🇺,place,['Luxembourg']
177,:Macau_SAR_China:,🇲🇴,activity,"['Macau', 'SAR', 'China']"
178,:Macedonia:,🇲🇰,person,['Macedonia']
179,:Madagascar:,🇲🇬,place,['Madagascar']
180,:Malawi:,🇲🇼,thing,['Malawi']
181,:Malaysia:,🇲🇾,place,['Malaysia']
182,:Maldives:,🇲🇻,person,['Maldives']
183,:Mali:,🇲🇱,place,['Mali']
184,:Malta:,🇲🇹,activity,['Malta']
185,:Marshall_Islands:,🇲🇭,thing,"['Marshall', 'Islands']"
186,:Martinique:,🇲🇶,mood,['Martinique']
187,:Mauritania:,🇲🇷,place,['Mauritania']
188,:Mauritius:,🇲🇺,person,['Mauritius']
189,:Mayotte:,🇾🇹,time,['Mayotte']
190,:Mexico:,🇲🇽,place,['Mexico']
191,:Micronesia:,🇫🇲,thing,['Micronesia']
192,:Moldova:,🇲🇩,place,['Moldova']
193,:Monaco:,🇲🇨,place,['Monaco']
194,:Mongolia:,🇲🇳,place,['Mongolia']
195,:Montenegro:,🇲🇪,place,['Montenegro']
196,:Montserrat:,🇲🇸,activity,['Montserrat']
197,:Morocco:,🇲🇦,place,['Morocco']
198,:Mozambique:,🇲🇿,person,['Mozambique']
199,:Mrs._Claus:,🤶,person,"['Mrs.', 'Claus']"
200,:Mrs._Claus_dark_skin_tone:,🤶🏿,person,"['Mrs.', 'Claus']"
201,:Mrs._Claus_light_skin_tone:,🤶🏻,person,"['Mrs.', 'Claus']"
202,:Mrs._Claus_medium-dark_skin_tone:,🤶🏾,person,"['Mrs.', 'Claus']"
203,:Mrs._Claus_medium-light_skin_tone:,🤶🏼,person,"['Mrs.', 'Claus']"
204,:Mrs._Claus_medium_skin_tone:,🤶🏽,person,"['Mrs.', 'Claus']"
205,:Myanmar_(Burma):,🇲🇲,person,"['Myanmar', '(Burma']"
206,:NEW_button:,🆕,person,"['NEW', 'button']"
207,:NG_button:,🆖,thing,"['NG', 'button']"
208,:Namibia:,🇳🇦,thing,['Namibia']
209,:Nauru:,🇳🇷,thing,['Nauru']
210,:Nepal:,🇳🇵,person,['Nepal']
211,:Netherlands:,🇳🇱,place,['Netherlands']
212,:New_Caledonia:,🇳🇨,mood,"['New', 'Caledonia']"
213,:New_Zealand:,🇳🇿,activity,"['New', 'Zealand']"
214,:Nicaragua:,🇳🇮,activity,['Nicaragua']
215,:Niger:,🇳🇪,person,['Niger']
216,:Nigeria:,🇳🇬,person,['Nigeria']
217,:Niue:,🇳🇺,thing,['Niue']
218,:Norfolk_Island:,🇳🇫,time,"['Norfolk', 'Island']"
219,:North_Korea:,🇰🇵,place,"['North', 'Korea']"
220,:Northern_Mariana_Islands:,🇲🇵,activity,"['Northern', 'Mariana', 'Islands']"
221,:Norway:,🇳🇴,place,['Norway']
222,:OK_button:,🆗,thing,"['OK', 'button']"
223,:OK_hand:,👌,thing,"['OK', 'hand']"
224,:OK_hand_dark_skin_tone:,👌🏿,thing,"['OK', 'hand']"
225,:OK_hand_light_skin_tone:,👌🏻,thing,"['OK', 'hand']"
226,:OK_hand_medium-dark_skin_tone:,👌🏾,thing,"['OK', 'hand']"
227,:OK_hand_medium-light_skin_tone:,👌🏼,thing,"['OK', 'hand']"
228,:OK_hand_medium_skin_tone:,👌🏽,thing,"['OK', 'hand']"
229,:ON!_arrow:,🔛,person,"['ON!', 'arrow']"
230,:O_button_(blood_type):,🅾,thing,"['O', 'button', '(blood', 'type']"
231,:Oman:,🇴🇲,place,['Oman']
232,:Ophiuchus:,⛎,person,['Ophiuchus']
233,:P_button:,🅿,thing,"['P', 'button']"
234,:Pakistan:,🇵🇰,person,['Pakistan']
235,:Palau:,🇵🇼,thing,['Palau']
236,:Palestinian_Territories:,🇵🇸,activity,"['Palestinian', 'Territories']"
237,:Panama:,🇵🇦,place,['Panama']
238,:Papua_New_Guinea:,🇵🇬,activity,"['Papua', 'New', 'Guinea']"
239,:Paraguay:,🇵🇾,activity,['Paraguay']
240,:Peru:,🇵🇪,place,['Peru']
241,:Philippines:,🇵🇭,thing,['Philippines']
242,:Pisces:,♓,person,['Pisces']
243,:Pitcairn_Islands:,🇵🇳,thing,"['Pitcairn', 'Islands']"
244,:Poland:,🇵🇱,place,['Poland']
245,:Portugal:,🇵🇹,mood,['Portugal']
246,:Puerto_Rico:,🇵🇷,activity,"['Puerto', 'Rico']"
247,:Qatar:,🇶🇦,place,['Qatar']
248,:Romania:,🇷🇴,time,['Romania']
249,:Russia:,🇷🇺,time,['Russia']
250,:Rwanda:,🇷🇼,place,['Rwanda']
251,:Réunion:,🇷🇪,mood,['Réunion']
252,:SOON_arrow:,🔜,thing,"['SOON', 'arrow']"
253,:SOS_button:,🆘,thing,"['SOS', 'button']"
254,:Sagittarius:,♐,person,['Sagittarius']
255,:Samoa:,🇼🇸,time,['Samoa']
256,:San_Marino:,🇸🇲,person,"['San', 'Marino']"
257,:Santa_Claus:,🎅,activity,"['Santa', 'Claus']"
258,:Santa_Claus_dark_skin_tone:,🎅🏿,activity,"['Santa', 'Claus']"
259,:Santa_Claus_light_skin_tone:,🎅🏻,activity,"['Santa', 'Claus']"
260,:Santa_Claus_medium-dark_skin_tone:,🎅🏾,activity,"['Santa', 'Claus']"
261,:Santa_Claus_medium-light_skin_tone:,🎅🏼,activity,"['Santa', 'Claus']"
262,:Santa_Claus_medium_skin_tone:,🎅🏽,activity,"['Santa', 'Claus']"
263,:Saudi_Arabia:,🇸🇦,activity,"['Saudi', 'Arabia']"
264,:Scorpio:,♏,person,['Scorpio']
265,:Scotland:,🏴󠁧󠁢󠁳󠁣󠁴󠁿,thing,['Scotland']
266,:Senegal:,🇸🇳,place,['Senegal']
267,:Serbia:,🇷🇸,thing,['Serbia']
268,:Seychelles:,🇸🇨,place,['Seychelles']
269,:Sierra_Leone:,🇸🇱,time,"['Sierra', 'Leone']"
270,:Singapore:,🇸🇬,activity,['Singapore']
271,:Sint_Maarten:,🇸🇽,place,"['Sint', 'Maarten']"
272,:Slovakia:,🇸🇰,time,['Slovakia']
273,:Slovenia:,🇸🇮,place,['Slovenia']
274,:Solomon_Islands:,🇸🇧,thing,"['Solomon', 'Islands']"
275,:Somalia:,🇸🇴,place,['Somalia']
276,:South_Africa:,🇿🇦,time,"['South', 'Africa']"
277,:South_Georgia_&_South_Sandwich_Islands:,🇬🇸,place,"['South', 'Georgia', '&', 'South', 'Sandwich', 'Islands']"
278,:South_Korea:,🇰🇷,place,"['South', 'Korea']"
279,:South_Sudan:,🇸🇸,place,"['South', 'Sudan']"
280,:Spain:,🇪🇸,mood,['Spain']
281,:Sri_Lanka:,🇱🇰,person,"['Sri', 'Lanka']"
282,:St._Barthélemy:,🇧🇱,place,"['St.', 'Barthélemy']"
283,:St._Helena:,🇸🇭,place,"['St.', 'Helena']"
284,:St._Kitts_&_Nevis:,🇰🇳,place,"['St.', 'Kitts', '&', 'Nevis']"
285,:St._Lucia:,🇱🇨,place,"['St.', 'Lucia']"
286,:St._Martin:,🇲🇫,place,"['St.', 'Martin']"
287,:St._Pierre_&_Miquelon:,🇵🇲,place,"['St.', 'Pierre', '&', 'Miquelon']"
288,:St._Vincent_&_Grenadines:,🇻🇨,place,"['St.', 'Vincent', '&', 'Grenadines']"
289,:Statue_of_Liberty:,🗽,person,"['Statue', 'of', 'Liberty']"
290,:Sudan:,🇸🇩,person,['Sudan']
291,:Suriname:,🇸🇷,time,['Suriname']
292,:Svalbard_&_Jan_Mayen:,🇸🇯,activity,"['Svalbard', '&', 'Jan', 'Mayen']"
293,:Swaziland:,🇸🇿,person,['Swaziland']
294,:Sweden:,🇸🇪,place,['Sweden']
295,:Switzerland:,🇨🇭,place,['Switzerland']
296,:Syria:,🇸🇾,activity,['Syria']
297,:São_Tomé_&_Príncipe:,🇸🇹,activity,"['São', 'Tomé', '&', 'Príncipe']"
298,:T-Rex:,🦖,thing,"['T', 'Rex']"
299,:TOP_arrow:,🔝,activity,"['TOP', 'arrow']"
300,:Taiwan:,🇹🇼,activity,['Taiwan']
301,:Tajikistan:,🇹🇯,activity,['Tajikistan']
302,:Tanzania:,🇹🇿,thing,['Tanzania']
303,:Taurus:,♉,person,['Taurus']
304,:Thailand:,🇹🇭,place,['Thailand']
305,:Timor-Leste:,🇹🇱,place,"['Timor', 'Leste']"
306,:Togo:,🇹🇬,place,['Togo']
307,:Tokelau:,🇹🇰,person,['Tokelau']
308,:Tokyo_tower:,🗼,place,"['Tokyo', 'tower']"
309,:Tonga:,🇹🇴,person,['Tonga']
310,:Trinidad_&_Tobago:,🇹🇹,place,"['Trinidad', '&', 'Tobago']"
311,:Tristan_da_Cunha:,🇹🇦,thing,"['Tristan', 'da', 'Cunha']"
312,:Tunisia:,🇹🇳,place,['Tunisia']
313,:Turkey:,🇹🇷,person,['Turkey']
314,:Turkmenistan:,🇹🇲,person,['Turkmenistan']
315,:Turks_&_Caicos_Islands:,🇹🇨,place,"['Turks', '&', 'Caicos', 'Islands']"
316,:Tuvalu:,🇹🇻,thing,['Tuvalu']
317,:U.S._Outlying_Islands:,🇺🇲,activity,"['U.S.', 'Outlying', 'Islands']"
318,:U.S._Virgin_Islands:,🇻🇮,time,"['U.S.', 'Virgin', 'Islands']"
319,:UP!_button:,🆙,thing,"['UP!', 'button']"
320,:Uganda:,🇺🇬,thing,['Uganda']
321,:Ukraine:,🇺🇦,time,['Ukraine']
322,:United_Arab_Emirates:,🇦🇪,time,"['United', 'Arab', 'Emirates']"
323,:United_Kingdom:,🇬🇧,person,"['United', 'Kingdom']"
324,:United_Nations:,🇺🇳,place,"['United', 'Nations']"
325,:United_States:,🇺🇸,time,"['United', 'States']"
326,:Uruguay:,🇺🇾,person,['Uruguay']
327,:Uzbekistan:,🇺🇿,place,['Uzbekistan']
328,:VS_button:,🆚,thing,"['VS', 'button']"
329,:Vanuatu:,🇻🇺,activity,['Vanuatu']
330,:Vatican_City:,🇻🇦,place,"['Vatican', 'City']"
331,:Venezuela:,🇻🇪,activity,['Venezuela']
332,:Vietnam:,🇻🇳,place,['Vietnam']
333,:Virgo:,♍,person,['Virgo']
334,:Wales:,🏴󠁧󠁢󠁷󠁬󠁳󠁿,time,['Wales']
335,:Wallis_&_Futuna:,🇼🇫,activity,"['Wallis', '&', 'Futuna']"
336,:Western_Sahara:,🇪🇭,thing,"['Western', 'Sahara']"
337,:Yemen:,🇾🇪,person,['Yemen']
338,:Zambia:,🇿🇲,person,['Zambia']
339,:Zimbabwe:,🇿🇼,thing,['Zimbabwe']
340,:abacus:,🧮,thing,['abacus']
341,:admission_tickets:,🎟,person,"['admission', 'tickets']"
342,:adult:,🧑,person,['adult']
343,:adult_dark_skin_tone:,🧑🏿,person,['adult']
344,:adult_light_skin_tone:,🧑🏻,person,['adult']
345,:adult_medium-dark_skin_tone:,🧑🏾,person,['adult']
346,:adult_medium-light_skin_tone:,🧑🏼,person,['adult']
347,:adult_medium_skin_tone:,🧑🏽,person,['adult']
348,:aerial_tramway:,🚡,place,"['aerial', 'tramway']"
349,:airplane:,✈,person,['airplane']
350,:airplane_arrival:,🛬,time,"['airplane', 'arrival']"
351,:airplane_departure:,🛫,thing,"['airplane', 'departure']"
352,:alarm_clock:,⏰,time,"['alarm', 'clock']"
353,:alembic:,⚗,place,['alembic']
354,:alien:,👽,person,['alien']
355,:alien_monster:,👾,person,"['alien', 'monster']"
356,:ambulance:,🚑,person,['ambulance']
357,:american_football:,🏈,thing,"['american', 'football']"
358,:amphora:,🏺,person,['amphora']
359,:anchor:,⚓,place,['anchor']
360,:anger_symbol:,💢,mood,"['anger', 'symbol']"
361,:angry_face:,😠,mood,"['angry', 'face']"
362,:angry_face_with_horns:,👿,mood,"['angry', 'face', 'with', 'horns']"
363,:anguished_face:,😧,mood,"['anguished', 'face']"
364,:ant:,🐜,person,['ant']
365,:antenna_bars:,📶,place,"['antenna', 'bars']"
366,:anxious_face_with_sweat:,😰,mood,"['anxious', 'face', 'with', 'sweat']"
367,:articulated_lorry:,🚛,thing,"['articulated', 'lorry']"
368,:artist_palette:,🎨,mood,"['artist', 'palette']"
369,:astonished_face:,😲,thing,"['astonished', 'face']"
370,:atom_symbol:,⚛,thing,"['atom', 'symbol']"
371,:automobile:,🚗,person,['automobile']
372,:avocado:,🥑,activity,['avocado']
373,:baby:,👶,person,['baby']
374,:baby_angel:,👼,person,"['baby', 'angel']"
375,:baby_angel_dark_skin_tone:,👼🏿,person,"['baby', 'angel']"
376,:baby_angel_light_skin_tone:,👼🏻,person,"['baby', 'angel']"
377,:baby_angel_medium-dark_skin_tone:,👼🏾,person,"['baby', 'angel']"
378,:baby_angel_medium-light_skin_tone:,👼🏼,person,"['baby', 'angel']"
379,:baby_angel_medium_skin_tone:,👼🏽,person,"['baby', 'angel']"
380,:baby_bottle:,🍼,person,"['baby', 'bottle']"
381,:baby_chick:,🐤,person,"['baby', 'chick']"
382,:baby_dark_skin_tone:,👶🏿,person,['baby']
383,:baby_light_skin_tone:,👶🏻,person,['baby']
384,:baby_medium-dark_skin_tone:,👶🏾,person,['baby']
385,:baby_medium-light_skin_tone:,👶🏼,person,['baby']
386,:baby_medium_skin_tone:,👶🏽,person,['baby']
387,:baby_symbol:,🚼,thing,"['baby', 'symbol']"
388,:backhand_index_pointing_down:,👇,time,"['backhand', 'index', 'pointing', 'down']"
389,:backhand_index_pointing_down_dark_skin_tone:,👇🏿,time,"['backhand', 'index', 'pointing', 'down']"
390,:backhand_index_pointing_down_light_skin_tone:,👇🏻,time,"['backhand', 'index', 'pointing', 'down']"
391,:backhand_index_pointing_down_medium-dark_skin_tone:,👇🏾,time,"['backhand', 'index', 'pointing', 'down']"
392,:backhand_index_pointing_down_medium-light_skin_tone:,👇🏼,time,"['backhand', 'index', 'pointing', 'down']"
393,:backhand_index_pointing_down_medium_skin_tone:,👇🏽,time,"['backhand', 'index', 'pointing', 'down']"
394,:backhand_index_pointing_left:,👈,mood,"['backhand', 'index', 'pointing', 'left']"
395,:backhand_index_pointing_left_dark_skin_tone:,👈🏿,mood,"['backhand', 'index', 'pointing', 'left']"
396,:backhand_index_pointing_left_light_skin_tone:,👈🏻,mood,"['backhand', 'index', 'pointing', 'left']"
397,:backhand_index_pointing_left_medium-dark_skin_tone:,👈🏾,mood,"['backhand', 'index', 'pointing', 'left']"
398,:backhand_index_pointing_left_medium-light_skin_tone:,👈🏼,mood,"['backhand', 'index', 'pointing', 'left']"
399,:backhand_index_pointing_left_medium_skin_tone:,👈🏽,mood,"['backhand', 'index', 'pointing', 'left']"
400,:backhand_index_pointing_right:,👉,thing,"['backhand', 'index', 'pointing', 'right']"
401,:backhand_index_pointing_right_dark_skin_tone:,👉🏿,thing,"['backhand', 'index', 'pointing', 'right']"
402,:backhand_index_pointing_right_light_skin_tone:,👉🏻,thing,"['backhand', 'index', 'pointing', 'right']"
403,:backhand_index_pointing_right_medium-dark_skin_tone:,👉🏾,thing,"['backhand', 'index', 'pointing', 'right']"
404,:backhand_index_pointing_right_medium-light_skin_tone:,👉🏼,thing,"['backhand', 'index', 'pointing', 'right']"
405,:backhand_index_pointing_right_medium_skin_tone:,👉🏽,thing,"['backhand', 'index', 'pointing', 'right']"
406,:backhand_index_pointing_up:,👆,mood,"['backhand', 'index', 'pointing', 'up']"
407,:backhand_index_pointing_up_dark_skin_tone:,👆🏿,mood,"['backhand', 'index', 'pointing', 'up']"
408,:backhand_index_pointing_up_light_skin_tone:,👆🏻,mood,"['backhand', 'index', 'pointing', 'up']"
409,:backhand_index_pointing_up_medium-dark_skin_tone:,👆🏾,mood,"['backhand', 'index', 'pointing', 'up']"
410,:backhand_index_pointing_up_medium-light_skin_tone:,👆🏼,mood,"['backhand', 'index', 'pointing', 'up']"
411,:backhand_index_pointing_up_medium_skin_tone:,👆🏽,mood,"['backhand', 'index', 'pointing', 'up']"
412,:bacon:,🥓,time,['bacon']
413,:badger:,🦡,person,['badger']
414,:badminton:,🏸,activity,['badminton']
415,:bagel:,🥯,thing,['bagel']
416,:baggage_claim:,🛄,time,"['baggage', 'claim']"
417,:baguette_bread:,🥖,person,"['baguette', 'bread']"
418,:balance_scale:,⚖,mood,"['balance', 'scale']"
419,:bald:,🦲,thing,['bald']
420,:bald_man:,👨‍🦲,person,"['bald', 'man']"
421,:bald_woman:,👩‍🦲,person,"['bald', 'woman']"
422,:balloon:,🎈,person,['balloon']
423,:ballot_box_with_ballot:,🗳,place,"['ballot', 'box', 'with', 'ballot']"
424,:ballot_box_with_check:,☑,place,"['ballot', 'box', 'with', 'check']"
425,:banana:,🍌,thing,['banana']
426,:bank:,🏦,person,['bank']
427,:bar_chart:,📊,time,"['bar', 'chart']"
428,:barber_pole:,💈,person,"['barber', 'pole']"
